subject,condition,freqBandPowerThetaFz,freqBandPowerAlphaMean,freqBandPowerAlphaPz,freqBandPowerAlphaP1,freqBandPowerAlphaP2,freqBandPowerAlphaP3,freqBandPowerAlphaP4
sub-054,highMemory,2.004691,3.494227,2.868197,2.796538,3.884413,2.657142,5.264846
sub-054,lowControl,1.225318,4.338771,3.098485,3.890609,4.180310,5.078618,5.445832
sub-054,highControl,1.863964,4.861434,3.842070,4.503735,4.655440,5.440333,5.865591
sub-053,lowMemory,5.970230,7.447996,8.248243,6.721971,7.949177,6.298271,8.022319
sub-053,highMemory,6.043847,7.338350,8.197675,6.669802,7.824983,6.242703,7.756589
sub-053,lowControl,5.475650,7.331039,8.095378,6.533404,7.790421,6.504272,7.731720
sub-053,highControl,5.666145,7.161562,8.019595,6.621400,7.489553,6.390564,7.286697
sub-051,lowMemory,1.461189,2.566734,3.382416,2.237888,2.988469,1.338755,2.886140
sub-051,highMemory,1.808139,1.456376,1.750947,-0.025091,1.757541,1.530538,2.267944
sub-051,lowControl,2.045033,2.429456,3.120472,1.590192,3.232636,0.887016,3.316966
sub-051,highControl,1.312522,2.297576,2.929548,1.569697,3.179975,0.781857,3.026803
sub-050,lowMemory,6.848126,4.517264,4.769284,3.820567,4.940827,3.614665,5.440976
sub-050,highMemory,7.343683,3.805616,3.922975,3.009827,4.221803,2.951943,4.921531
sub-050,lowControl,5.027175,4.801313,5.220551,4.222932,5.263990,3.800911,5.498181
sub-050,highControl,5.388500,4.769662,5.168492,4.181544,5.206604,3.871296,5.420376
sub-047,lowMemory,2.564795,0.795508,1.577204,0.910467,0.591257,0.550029,0.348581
sub-047,highMemory,3.789567,-0.987208,-0.269575,-0.595927,-1.352021,-1.059340,-1.659176
sub-047,lowControl,1.539300,1.505001,1.797473,1.082234,1.730327,0.890255,2.024718
sub-047,highControl,1.420514,0.920854,1.987342,1.110343,0.950982,0.407764,0.147837
sub-046,lowMemory,1.923500,0.844789,1.182016,0.673265,0.417204,0.509099,1.442358
sub-046,highMemory,2.737533,0.194350,0.634029,0.134406,-0.385282,-0.030310,0.618908
sub-046,lowControl,1.898621,-0.964044,-0.447125,-1.036395,-1.549515,-1.091602,-0.695584
sub-046,highControl,1.953495,-0.401069,-0.100207,-0.690772,-0.818009,-0.501764,0.105405
sub-045,lowMemory,0.595801,-0.527657,-0.141877,-1.203836,-0.435432,-0.020212,-0.836928
sub-045,highMemory,2.206987,-1.020474,-0.587095,-1.089051,-0.676648,-1.512410,-1.237165
sub-045,lowControl,3.640904,2.381310,3.977914,2.108563,3.135315,0.831939,1.852819
sub-045,highControl,3.090715,0.261209,0.831667,0.484671,-0.012344,0.579360,-0.577310
sub-044,lowMemory,2.989901,1.672810,1.765325,1.000389,1.314049,1.754947,2.529341
sub-044,highMemory,2.315358,2.340932,2.266819,1.485424,1.596310,3.700585,2.655520
sub-044,lowControl,0.823302,3.214466,2.738039,1.480456,2.547806,5.766532,3.539498
sub-044,highControl,2.820151,2.962730,2.796996,1.491867,2.330158,4.701254,3.493375
sub-043,lowMemory,6.241313,4.662371,5.203758,4.511786,4.978531,3.981184,4.636599
sub-043,highMemory,7.585673,4.445119,4.942276,4.164446,4.800013,3.911622,4.407240
sub-043,lowControl,4.597557,4.259211,4.702638,4.131762,4.355420,4.043372,4.062864
